Case,egg.trmt,inc.envmt,inc.time,HatchBmass,HatchSVL
1,Dissected,sterile,47,0.4,23.9
2,Dissected,fungus,48,0.39,23.8
3,Dissected,fungus,48,0.37,23.3
12,Dissected,sterile,40,0.33,22.2
13,Dissected,fungus,41,0.32,22.8
14,Dissected,sterile,46,0.4,24.3
15,Dissected,sterile,48,0.36,21.3
19,Dissected,sterile,44,0.32,22.1
20,Dissected,sterile,45,0.37,23.3
21,Dissected,sterile,46,0.36,23.2
22,Dissected,sterile,47,0.35,22.4
23,Dissected,fungus,48,0.34,23.1
24,Dissected,sterile,48,0.35,23.8
25,Dissected,fungus,49,0.33,22.5
26,Dissected,fungus,49,0.35,23.6
30,Induced,fungus,44,0.29,21.7
31,Induced,fungus,47,0.33,22.2
32,Induced,sterile,48,0.37,22.9
33,Induced,sterile,48,0.42,23.6
34,Induced,fungus,43,0.29,23.2
35,Induced,sterile,45,0.4,23.8
36,Induced,fungus,46,0.41,22.9
37,Induced,sterile,46,0.46,24.7
38,Induced,sterile,46,0.44,24.1
39,Induced,fungus,47,0.41,23.8
40,Induced,fungus,47,0.5,26
41,Dissected,fungus,40,0.33,22.1
42,Dissected,sterile,40,0.34,22.4
43,Dissected,sterile,42,0.41,23.1
44,Dissected,fungus,43,0.39,23.1
47,Dissected,sterile,47,0.3,20.5
48,Dissected,fungus,49,0.33,22.8
52,Dissected,sterile,43,0.32,22.2
53,Dissected,sterile,44,0.33,22.7
54,Dissected,fungus,46,0.38,24.1
55,Dissected,fungus,46,0.35,22.8
56,Dissected,fungus,48,0.33,23.8
60,Induced,fungus,41,0.39,23.8
61,Induced,fungus,45,0.48,24.7
62,Induced,sterile,45,0.4,24.5
63,Induced,sterile,45,0.44,25
64,Induced,fungus,46,0.42,24.1
65,Induced,sterile,46,0.46,24.8
66,Induced,sterile,40,0.45,24.3
67,Induced,fungus,41,0.42,22.9
68,Induced,fungus,43,0.46,24.1
69,Induced,sterile,43,0.5,24.4
78,Dissected,fungus,41,0.32,22.3
79,Dissected,sterile,41,0.37,23.3
80,Dissected,sterile,41,0.33,22.2
81,Dissected,fungus,42,0.34,22.8
82,Dissected,fungus,42,0.32,22.2
83,Dissected,sterile,42,0.36,22.6
84,Dissected,fungus,43,0.36,23.6
88,Dissected,fungus,40,0.47,25
89,Dissected,sterile,42,0.42,22.7
90,Dissected,sterile,42,0.43,25
91,Dissected,sterile,43,0.42,23.7
92,Dissected,fungus,44,0.42,24.4
94,Dissected,sterile,42,0.35,22.9
95,Dissected,fungus,44,0.38,24.1
96,Dissected,sterile,44,0.39,24
97,Dissected,fungus,45,0.37,23.7
98,Dissected,sterile,47,0.34,22.4
100,Induced,fungus,41,0.4,24.3
101,Induced,fungus,41,0.42,24.7
102,Induced,fungus,42,0.43,24.2
103,Induced,fungus,42,0.44,24.2
104,Induced,sterile,42,0.42,23.8
105,Induced,sterile,42,0.36,25.6
106,Induced,sterile,42,0.4,24.8
107,Induced,sterile,44,0.41,23.8
108,Induced,fungus,41,0.31,23.4
109,Induced,fungus,41,0.41,24.5
110,Induced,fungus,41,0.42,24.5
111,Induced,sterile,43,0.4,23.7
112,Induced,sterile,43,0.44,25.4
113,Induced,sterile,43,0.44,24.8
114,Induced,sterile,43,0.43,23.8
115,Induced,sterile,43,0.43,24.3
116,Induced,fungus,44,0.4,23.7
117,Induced,fungus,38,0.43,24.1
118,Induced,fungus,40,0.46,25.2
119,Induced,sterile,41,0.47,25.3
120,Induced,fungus,42,0.45,25.2
121,Induced,sterile,42,0.46,24.5
122,Induced,sterile,42,0.49,25.4
125,Induced,fungus,47,0.38,23.3
126,Induced,sterile,47,0.35,23.4
127,Induced,fungus,48,0.37,23.3
128,Induced,sterile,48,0.38,23.1
129,Induced,fungus,50,0.36,23
133,Dissected,fungus,46,0.36,23.6
134,Dissected,sterile,47,0.37,22.1
135,Dissected,sterile,47,0.37,22.4
