"","Age_yearBP","Age_decimal","Bag","ztop","Deuterium","d18O","Temperature","X","X.1","co2"
"1",38,38.37379,13,6.6,-390.9,-50.11,0.88,NA,NA,NA
"2",47,46.81203,14,7.15,-385.1,-49.39,1.84,NA,NA,NA
"3",55,55.05624,15,7.7,-377.8,-48.48,3.04,NA,NA,NA
"4",64,64.41511,16,8.25,-394.1,-50.51,0.35,NA,NA,NA
"5",73,73.15077,17,8.8,-398.7,-51.09,-0.42,NA,NA,NA
"6",82,81.93244,18,9.35,-395.9,-50.74,0.05,NA,NA,NA
"7",91,90.75925,19,9.9,-395.9,-50.74,0.05,NA,NA,NA
"8",100,99.97031,20,10.45,-399.3,-51.16,-0.52,NA,NA,NA
"9",110,109.88879,21,11,-391.4,-50.18,0.79,NA,NA,NA
"10",119,119.25888,22,11.55,-399.5,-51.19,-0.55,NA,NA,NA
"11",129,129.40378,23,12.1,-402.9,-51.61,-1.11,NA,NA,NA
"12",140,139.93889,24,12.65,-393.9,-50.49,0.38,NA,NA,280.27661148855
"13",150,150.10205,25,13.2,-398.6,-51.08,-0.4,NA,NA,279.849913931298
"14",161,160.58005,26,13.75,-389.8,-49.98,1.05,NA,NA,279.409997900763
"15",171,171.01834,27,14.3,-394.5,-50.56,0.28,NA,NA,278.971749083969
"16",181,181.44466,28,14.85,-400.5,-51.31,-0.72,NA,NA,278.534002824427
"17",191,191.48283,29,15.4,-403.6,-51.7,-1.23,NA,NA,278.112552938931
"18",202,201.87233,30,15.95,-393.1,-50.39,0.51,NA,NA,277.676352557252
"19",212,212.18626,31,16.5,-410.9,-52.61,-2.44,NA,NA,277.243324961832
"20",223,223.16292,32,17.05,-393.6,-50.45,0.42,NA,NA,276.782472824427
"21",234,233.73909,33,17.6,-391.1,-50.14,0.84,NA,NA,276.338435152672
"22",245,244.64073,34,18.15,-391.9,-50.24,0.71,NA,NA,275.880732709924
"23",255,255.49973,35,18.7,-396.3,-50.79,-0.02,NA,NA,275.424820496183
"24",267,266.61209,36,19.25,-397,-50.88,-0.14,NA,NA,274.958271030534
"25",278,277.77097,37,19.8,-404.7,-51.84,-1.41,NA,NA,277.56481
"26",289,289.25006,38,20.35,-398.2,-51.03,-0.34,NA,NA,278.006035103448
"27",301,301.04303,39,20.9,-395.2,-50.65,0.16,NA,NA,278.128031344828
"28",312,312.44177,40,21.45,-403.5,-51.69,-1.22,NA,NA,278.245949344828
"29",324,323.85452,41,22,-398.6,-51.08,-0.41,NA,NA,278.364012275862
"30",336,335.57825,42,22.55,-399.7,-51.21,-0.59,NA,NA,278.485292241379
"31",347,346.88129,43,23.1,-396,-50.75,0.03,NA,NA,278.602220241379
"32",359,358.50821,44,23.65,-400.2,-51.28,-0.67,NA,NA,278.722498724138
