Timestamp,What is your max flash grade?,What is your max redpoint grade?,What is your max onsight grade on lead (YDS)? ,What is your max flash grade on lead (YDS)? ,What is your max redpoint grade on lead (YDS)? ,"What is your height, in inches?","What is your weight, in lbs?",What is your age?,What is your sex?,How long have you been climbing in years?,"What is your max pull up (in lbs, enter 0 if unknown)?","What is your max finger strength, two-handed, 3-5s on a 20mm edge (in lbs, enter 0 if unknown)?","What is your max finger strength, one-handed, 3-5s on a 20mm edge (in lbs, enter 0 if unknown)?",How many days a month (on average) do you typically climb inside?,How many days a month (on average) do you typically climb outside?,How many days a month (on average) do you complete a hangboarding workout?,How many days a month (on average) do you consume collagen?,How many days a month (on average) do you consume protein powder?,Do you eat healthy (by your standards?),"How many drinks (alcoholic beverages, on average) do you consume a week?",How many times a week (on average) do you consume THC?,How would you describe the grades at your home gym?,How would you describe the grades at other gyms?,How would you describe the grades at your home crag (the one you climb at the most)?,How would you describe the grades at other crags?,Have you had a finger injury in the last 6 months?,Have you had a finger injury in the last 2 years?
11/11/2022 12:22:10,V10,V11,5.12c,5.12c,5.13b,77,201,21,Male,8,357,0,220,14,4,3,6,8,No,0,0,5,2,2,3,Yes,Yes
11/11/2022 12:55:49,V6,V6,,,,69,140,22,Female,4,0,0,110,4,2,0,0,0,Yes,0,0,3,3,4,3,No,Yes
11/12/2022 9:24:25,V8,V11,5.12b,5.13b,5.13b,70,150,28,Male,10,0,,225,8,4,0,0,20,Yes,2,0,3,3,3,3,No,Yes
11/12/2022 9:45:19,V11,V13,,,,68,155,30,Male,12,0,0,0,10,5,0,0,1,No,0,0,1,1,2,3,No,Yes
11/12/2022 11:39:57,V6,V7,5.11c,5.11c,5.11c,66,138,23,Male,5,0,0,0,9,0,0,0,20,Yes,1,0,2,2,4,4,No,Yes
11/12/2022 11:46:03,V5,V7,5.10b,5.10b,5.10b,66,145,29,Male,5,220,210,0,10,1,9,9,20,Yes,1,0,3,3,3,3,No,No
11/12/2022 13:29:53,V3,V5,5.8,5.8,5.9,75,135,19,Male,1,0,0,0,9,0,0,0,0,Yes,0,3,3,2,4,2,No,No
11/12/2022 13:34:59,V3,V0,,,,74,230,21,Male,0.16,0,0,0,8,0,0,0,0,Yes,0,0,4,3,3,3,No,No
11/12/2022 15:31:03,V6,V10,5.11,5.12,5.12,69,160,25,Male,6,110,60,0,10,8,4,0,0,Yes,0,30,3,3,4,3,Yes,Yes
11/12/2022 18:20:42,V4,V6,5.11,5.11d,5.12a,64,140,22,Female,5,0,160,0,12,1,3,0,0,Yes,0,0,3,2,4,3,No,Yes
11/12/2022 19:05:57,V8,V11,5.13a,5.13b,5.13d,71,140,20,Male,8,0,0,0,20,5,0,0,30,Yes,9,0,3,3,4,3,No,No
11/12/2022 19:17:39,V5,V6,5.11d,5.11d,5.11d,64,125,22,Female,4,0,0,0,20,3,0,0,10,Yes,1,0,3,3,3,4,No,No
11/12/2022 19:55:39,V4,V5,,,,68,130,28,Female,0.5,0,0,0,12,0,8,0,0,Yes,0,0,3,3,3,3,No,No
11/12/2022 19:57:12,V3,V6,5.12a,5.12a,5.12a,65.5,120,26,Female,7,0,0,0,12,0.25,0,2,0,Yes,0.25,0,2,2,1,4,No,No
11/12/2022 20:09:31,V4,V5,5.11,5.11b,5.12a,66,130,19,Female,1,0,0,0,12,1,0,0,0,No,0,0,4,2,,,No,Yes
11/12/2022 20:15:10,V2,V3,5.10a,5.10a,5.10b,68,143,25,Female,1,0,0,0,5,1,0,0,10,Yes,4,0,2,2,4,4,No,No
11/12/2022 20:23:20,V3,V3,5.7,5.7,5.7,61,137,33,Female,0.5,1,0,,10,3,0,0,25,Yes,6,0,5,3,4,3,No,No
11/12/2022 20:27:37,V5,V7,5.1,5.1,5.11,65,120,29,Female,5,0,0,0,15,4,4,0,0,No,0,0,3,3,2,3,No,No
11/12/2022 20:41:35,V3,V4,5.10c,5.10c,5.11a,71,130,23,Other,0.5,0,0,0,23,2,0,0,0,No,2,6,3,1,3,4,No,No
11/12/2022 20:45:25,V6,V8,5.12a,5.12a,5.12d,71,167,31,Male,5,12,0,0,6,8,0,0,0,Yes,0,4,1,1,3,3,Yes,Yes
11/12/2022 20:46:08,V4,V7,5.11a,5.10c,5.11a,64,120,24,Female,1,0,0,0,9,2,1,0,0,Yes,4,0.5,3,3,3,3,No,No
11/12/2022 20:50:21,V4,V6,,,,64,105,24,Female,1,0,0,0,10,0,0,0,0,Yes,1,0,3,4,3,4,No,No
11/12/2022 20:50:40,V4,V5,5.10b,5.10c,5.10c,70,150,29,Female,6,0,0,0,3,1,0,0,0,Yes,0,0,4,3,3,3,No,Yes
11/12/2022 20:50:58,V1,V1,5.6,5.6,5.6,62,120,32,Female,3,1,0,0,2,2,2,0,0,No,0,0,3,5,3,3,No,No
11/12/2022 20:57:25,V5,V6,5.11,5.11,5.12,67,125,33,Female,5,0,0,0,8,2,0,0,1,Yes,1,5,4,3,3,3,No,No
11/12/2022 20:59:31,V4,V5,,,,61,120,,Female,4,0,0,0,19,0,0,0,2,Yes,0,,3,3,3,3,No,No
11/12/2022 21:11:43,V2,V2,,,,64,197,23,Female,1.5,0,0,0,20,0,1,0,8,Yes,3,0,4,2,3,3,No,No
11/12/2022 21:16:51,V4,V4,5.11a,5.11a,5.11a,65,125,33,Female,2,125,0,0,10,6,0,0,5,Yes,2,0,4,3,3,3,No,No
11/12/2022 21:23:03,V6,V7,,,,60,100,25,Female,1.33,100,0,0,15,1,3,0,28,Yes,0,0,4,2,3,3,No,No
