id,day,mass,wing,tarsus,culmen
1,0,38,22,16.6,11.8
2,0,27,21,15.5,12.7
3,0,36,21,16.6,12.3
4,0,34,20,16.2,11.8
5,0,38,22,16.1,12.1
6,0,34,22,16,12.7
7,0,,,,
8,0,44,22,17.4,11.9
9,0,38,21,16.7,12.2
10,0,41,22,16.7,12.5
11,0,37,22,16.4,12.4
12,0,,,,
13,0,35,21,16,11.2
14,0,47,22,17.7,12.7
15,0,43,22,17.1,12.4
16,0,46,22,17.8,12.7
17,0,,,,
18,0,,,,
19,0,,,,
20,0,,,,
21,0,36,21,16.9,11.5
22,0,28,21,15.9,12.5
23,0,43,21,16.4,12.2
24,0,37,22,16.7,12.9
25,0,,,,
26,0,39,22,17.2,12.3
27,0,50,23,17.2,12.5
28,0,40,21,16.4,10.9
29,0,39,21,16.6,12.6
30,0,,,,
31,0,,,,
32,0,41,21,15.5,12.2
33,0,35,22,15.5,12.3
34,0,45,22,16.5,12.8
35,0,,,,
36,0,33,20,15.7,12
37,0,37,21,16.8,11.9
38,0,30,20,16,12.1
39,0,41,22,16.8,12.7
40,0,37,22,16,12.1
41,0,39,21,16.7,12
42,0,37,21,15.4,11.8
43,0,,,,
1,3,78,25,17.5,12.4
2,3,47,23,16.5,12.8
3,3,77,26,19,13
4,3,69,23,16.6,12.2
5,3,75,26,17.8,12.9
6,3,76,26,19,13.9
7,3,55,25,17.8,12.8
8,3,81,27,19.8,12.8
9,3,67,27,18.7,12.8
10,3,74,25,18.9,12.8
11,3,73,27,19.4,12.5
12,3,65,26,18.9,12.2
13,3,54,23,17,12
14,3,72,28,20.6,13.7
15,3,63,26,18.7,13
16,3,85,29,20.6,13.4
17,3,,,,
18,3,77,27,20.2,12.3
19,3,61,24,16.5,11.8
20,3,45,24,18.1,12.4
21,3,79,25,19,12
22,3,67,24,17.9,12.8
23,3,65,25,18.9,12.9
24,3,58,25,18.7,13
25,3,51,24,17.2,12.5
26,3,69,26,19.3,13
27,3,68,26,19.2,13.1
